"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
17015;"Värmlands län";"Signalkräfta";"2004-08-16";"MÖGREVEN";6642193;462682;"Mögreven";6642193;462682;"Uppgift saknas";"Säker"
17016;"Värmlands län";"Signalkräfta";"2008-02-21";"MÖGSJÖN";6600661;459499;"Mögsjön";6600661;459499;"Uppgift saknas";"Säker"
17017;"Värmlands län";"Signalkräfta";"2004-08-16";"MÖRTTJÄRNEN";6604984;463135;"Mörttjärnen";6604799;463265;"Uppgift saknas";"Uppgift saknas"
17018;"Värmlands län";"Signalkräfta";"2008-02-21";"NEDRE BLOMSJÖN";6575189;327201;"Nedre blomsjön";6575189;327201;"Uppgift saknas";"Säker"
17019;"Värmlands län";"Signalkräfta";"2008-02-21";"NEDRE FRYKEN";6601744;403770;"Nedre fryken";6601744;403770;"Uppgift saknas";"Säker"
17020;"Värmlands län";"Signalkräfta";"2007-08-14";"TIMSÄLVEN";6576490;474306;"Nordmarksälven";6628603;450723;"Observation";"Säker"
17021;"Värmlands län";"Signalkräfta";"2020-09-01";"NORDSJÖN";6641137;330807;"Nordsjön";6641120;330782;"Uppgift saknas";"Säker"
17022;"Värmlands län";"Signalkräfta";"2001-01-01";"NORET";6555037;443548;"Noret";6551737;443408;"Uppgift saknas";"Säker"
17023;"Värmlands län";"Signalkräfta";"2010-11-02";"NORRA APLUNGEN";6628429;387083;"Norra aplungen";6628429;387083;"Uppgift saknas";"Säker"
17024;"Värmlands län";"Signalkräfta";"2013-08-28";"BAKÄLVEN";6620012;381248;"N. bakälven";6600458;432872;"Uppgift saknas";"Säker"
