"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
278;"Värmlands län";"Signalkräfta";"2009-09-17";"ENÅN";6638494;417477;"Enån, ned sågen";6639738;415412;"Elfiske";"Säker"
279;"Värmlands län";"Signalkräfta";"2008-09-06";"ENÅN";6638494;417477;"Enån, ned sågen";6639738;415412;"Elfiske";"Säker"
280;"Värmlands län";"Signalkräfta";"2016-09-03";"ENÅN";6638494;417477;"Enån, ned sågen";6639738;415412;"Elfiske";"Säker"
236;"Värmlands län";"Signalkräfta";"2016-09-07";NA;6575734;449825;"Vilångsbäcken, norr om kvarndammen";6575554;451432;"Elfiske";"Säker"
237;"Värmlands län";"Signalkräfta";"2015-08-13";NA;6575734;449825;"Vilångsbäcken, stakängen";6577457;453841;"Elfiske";"Säker"
3429;"Värmlands län";"Signalkräfta";"2009-08-20";"0-VATTEN";9999999;999999;"Gällsälven, gällälvsätern";6660473;427972;"Fångstdata";"Säker"
3430;"Värmlands län";"Signalkräfta";"2007-08-20";"0-VATTEN";9999999;999999;"Långserud";6573337;367427;"Fångstdata";"Säker"
3431;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Damm, dammön 1:4";6560901;452355;"Observation";"Finns troligen"
3432;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Damm mellan aplungen o me";6622019;396145;"Observation";"Finns troligen"
3433;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Damm (rottnen)";6634303;386772;"Observation";"Finns troligen"
3434;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Damm, olebyn";6622361;356425;"Observation";"Finns troligen"
3435;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Damm";6632485;395078;"Observation";"Finns troligen"
3436;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Sunne (damm)";6634554;398998;"Fångstdata";"Säker"
3437;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Medhamn 1:27";6552508;440250;"Odling";"Säker"
3438;"Värmlands län";"Signalkräfta";"2003-09-19";"0-VATTEN";9999999;999999;"Damm(vänern)";6551607;440280;"Observation";"Finns troligen"
3439;"Värmlands län";"Signalkräfta";"2003-09-19";"VIKARÄLVEN";6614708;365121;"Vikarälven";6614708;365121;"Utrotning";"Säker"
3440;"Värmlands län";"Signalkräfta";"2003-09-19";"FÅRNÅSÄLVEN";6590214;329088;"Holmerudsälven (fårnåsälven)";6590544;329144;"Observation";"Säker"
3441;"Värmlands län";"Signalkräfta";"2013-04-13";"YSJÖÄLVEN";6571440;365096;"Vålungen, sillefors";6571618;364104;"Historik";"Säker"
3442;"Värmlands län";"Signalkräfta";"2011-09-30";"YSJÖÄLVEN";6571440;365096;"Nedströms vålunge, sillingsforsa";6571862;364871;"Observation";"Säker"
3443;"Värmlands län";"Signalkräfta";"2012-07-30";"BYSJÖN";6629753;352205;"Bysjön";6629753;352205;"Kräftprovfiske";"Saknas troligen"
3444;"Värmlands län";"Signalkräfta";"2013-01-29";"BYSJÖN";6629753;352205;"Bysjön";6629753;352205;"Fångstdata";"Säker"
