Year;County;River;Site;WGS84 dec. Lat;WGS84 dec. Long;Month obs.;Length (cm);Weight (kg);Sex;Type of observation;Comments
2021;Halland;Ätran;Herting;56,901249;12,522621;August;38;n/a;n/a;Camera trap;n/a
2021;Halland;Ätran;Herting;56,901249;12,522621;August;47;n/a;n/a;Camera trap;n/a
2021;Halland;Ätran;Herting;56,901249;12,522621;August;48;n/a;n/a;Camera trap;n/a
2021;Halland;Ätran;Vessingebo;56,977801;12,655306;July;55;1,5;Male;Caught;n/a
2021;Halland;Ätran;Nydala;57,067636;12,655216;n/a;n/a;n/a;n/a;Caught;n/a
2021;Halland;Ätran;Nydala;57,067636;12,655216;n/a;n/a;n/a;n/a;Caught;n/a
2021;Västra Götaland;Säveån;n/a;n/a;n/a;July;n/a;n/a;n/a;Observation;Exact location not known 
2021;Västra Götaland;Säveån;n/a;n/a;n/a;July;n/a;n/a;n/a;Observation;Exact location not known 
2021;Västra Götaland;Säveån;n/a;n/a;n/a;July;n/a;n/a;n/a;Observation;Exact location not known 
2021;Västra Götaland;Säveån;n/a;n/a;n/a;July;n/a;n/a;n/a;Observation;Exact location not known 
2021;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;n/a;49;0,8;n/a;Caught;n/a
2021;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;n/a;45;1;n/a;Caught;n/a
2021;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;n/a;45;1;n/a;Caught;n/a
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Örekilsälven;n/a;n/a;n/a;n/a;n/a;n/a;n/a;Caught;Exact location not known 
2021;Västra Götaland;Enningsdalsälven;;n/a;n/a;July;50;1;n/a;Caught;Exact location not known 
2017;Västra Götaland;Örekilsälven;Kvistrum;58,4622208;11,6851145;August;53;1,3;Male;Caught;n/a
2017;Västra Götaland;Örekilsälven;Kvistrum;58,4622208;11,6851145;August;48;1;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
2017;Västra Götaland;Göta Älv;Lilla Edet;58,134664;12,120634;July / August;n/a;n/a;n/a;Caught;n/a
