species,longitude,latitude
Margaritifera,15.2347493432532,61.5212833991189
Margaritifera,15.0317920384307,61.7648583988559
Margaritifera,15.1786354752614,61.7565678645054
Margaritifera,16.4907699106317,61.8798061679445
Margaritifera,16.5949044674942,61.9367033406443
Margaritifera,16.6630593626123,61.9813299475414
Margaritifera,16.6241697986761,62.0137123248814
Margaritifera,17.1753431038015,62.0490587577793
Margaritifera,20.5689551752827,66.3278863498747
Margaritifera,14.8328971420836,62.2172535122002
Margaritifera,14.628804913921,62.3448598874466
Margaritifera,15.0712388396601,57.794223276485
Margaritifera,16.5620064597046,61.439150460146
Margaritifera,19.8087398564541,65.8953057099262
Margaritifera,18.1923094772076,63.7219311674958
Margaritifera,15.3357078714716,62.5942151095369
Margaritifera,17.2996134140593,63.1003183993224
Margaritifera,14.8714121046348,63.8286341994028
Margaritifera,14.7662294417024,62.1549957672925
Margaritifera,19.8129691164741,66.0805426876541
Margaritifera,16.9396765207065,63.1110874389602
Margaritifera,16.217144821837,62.4737200851543
Margaritifera,12.4778778457954,59.7567572317501
Margaritifera,15.9033358509617,62.6622399409787
Margaritifera,15.8069829435862,62.7536663762238
Margaritifera,16.2943694855318,63.1496472464119
Margaritifera,16.0438146245218,65.2616885497868
Margaritifera,19.7624008585233,65.8238786223258
Margaritifera,16.6623009755152,60.8836277366272
Margaritifera,15.7272318755769,62.01030030715
Margaritifera,17.9169184000048,63.0854069354809
Margaritifera,19.7469739183202,65.852198846261
Margaritifera,16.2098951464781,63.6490525863862
Margaritifera,15.8745087972135,61.2985447864036
Margaritifera,20.1977683565296,66.6683961920693
Margaritifera,16.8234052649731,63.8437954251788
Margaritifera,18.137603920555,63.0347495440713
Margaritifera,14.9093583047089,62.2154843960515
Margaritifera,14.559680065321,59.5915692473455
Margaritifera,16.9621372685478,62.5826778617812
Margaritifera,12.464981071669,59.6428345504368
Margaritifera,15.4020720945584,62.3851761110532
Margaritifera,16.4530008073732,62.4646858794862
Margaritifera,16.6279263815785,62.5784180064559
Margaritifera,15.1764735673667,63.7556315222939
Margaritifera,15.5784116121441,64.4561091108031
Margaritifera,15.0117285883662,59.5020158362517
Margaritifera,14.5236262774574,59.5849326376803
Margaritifera,17.4689570485928,62.1647469996334
Margaritifera,16.8115402784189,62.4202942976823
Margaritifera,15.5279136005592,62.5573770300974
Margaritifera,18.2493119704499,63.0816824702097
Margaritifera,16.2781871551992,62.6654913666816
Margaritifera,15.5784116121441,64.4561091108031
Margaritifera,16.0528869390189,65.2297426013899
Margaritifera,20.6022106017672,66.5696281465968
Margaritifera,16.2152886492323,60.8766632499119
Margaritifera,15.6164015970496,62.6586154360699
Margaritifera,16.2176510307942,63.1536561900753
Margaritifera,16.1977465950869,63.6918872054115
Margaritifera,20.8704773428913,65.7357130210052
Margaritifera,19.0391077833311,65.7105487053145
Margaritifera,15.8020126316474,57.2009573498372
Margaritifera,17.1337529017505,62.7309197387422
Margaritifera,20.4711460903662,66.631564851924
Margaritifera,18.5471486917624,64.9881645259801
Margaritifera,15.5691618177844,62.3605369819758
Margaritifera,15.7960687736846,62.6115546759541
Margaritifera,15.4207349705325,64.5817805750218
Margaritifera,14.6131297230817,64.3669922652017
Margaritifera,17.9323870227549,64.1757962983265
Margaritifera,17.6745531949523,64.1938187045212
Margaritifera,14.5792831671233,59.3973227844819
Margaritifera,14.9063111393028,59.4196450896548
Margaritifera,14.505490872194,60.575428287626
Margaritifera,16.9416857838979,62.2766277665624
Margaritifera,15.1351292513771,62.5705060958178
Margaritifera,16.8959216279246,62.5772787408733
Margaritifera,15.1189453818962,59.5519445282878
Margaritifera,16.1896986486298,61.132100008477
Margaritifera,18.8857728340027,64.8268621833504
Margaritifera,13.2776034179386,59.9527600679265
Margaritifera,15.3713330900095,61.9456208519538
Margaritifera,16.7173105082227,62.6018867280599
Margaritifera,17.7863845118147,62.6896813057365
Margaritifera,16.5998304155285,62.8087508592192
Margaritifera,18.0307875507853,63.0340875431639
Margaritifera,16.5190049429517,63.4361508397095
Margaritifera,17.3267324218724,65.5163674513538
Margaritifera,20.5569136681279,66.6113209645519
Margaritifera,13.5662422108822,57.8315753771585
Margaritifera,19.0551873718839,64.7864250345069
Margaritifera,15.8431560793369,64.9027479313035
Margaritifera,20.7045686693746,67.0714777183944
Margaritifera,14.7217524029352,59.6513164931445
Margaritifera,15.1623627679814,60.4752803691372
Margaritifera,16.8403976496563,61.6118284409949
Margaritifera,16.829613039464,62.3201252233906
Margaritifera,14.1989522740859,59.6834608645733
Margaritifera,16.893352087699,61.3595686562789
Margaritifera,17.8620529407048,64.8270105144592
Margaritifera,16.2082156166967,65.0791776021785
Margaritifera,22.0883069467945,66.0549942142152
Margaritifera,23.5927579947356,66.5924458923071
Margaritifera,14.9067989333047,59.9588043172183
Margaritifera,20.299034057168,64.4413300968886
Margaritifera,16.117345622542,64.8186964519119
Margaritifera,16.2541378233397,65.1802962413988
Margaritifera,21.1127208906771,65.4974073884352
Margaritifera,13.2887907047198,60.94117885031
Margaritifera,14.7008962742867,62.5016664207533
Margaritifera,17.1024340364959,65.4710994905388
Margaritifera,15.6172955819266,62.657498476486
Margaritifera,14.5125493537036,62.9152458962414
Margaritifera,20.3875370377764,65.2386857051851
Margaritifera,18.8193479399691,63.9425340611986
Margaritifera,17.5472656086155,65.5650031610317
Margaritifera,14.8514846323843,59.4578402787861
Margaritifera,16.0457903401001,65.2715635731103
Margaritifera,19.8512071063961,66.0645315196947
Margaritifera,20.4983045538587,66.389594551744
Margaritifera,21.7984211384931,67.3702994519609
Margaritifera,12.9109745911984,56.2641293043258
Margaritifera,16.5096238413673,60.8375206849391
Margaritifera,15.815368021223,61.7575115481623
Margaritifera,14.4798958049696,64.4064868143222
Margaritifera,19.9756770931487,66.5333319781296
Margaritifera,14.984646227773,62.499203246873
Margaritifera,14.874684720734,63.9198058936068
Margaritifera,20.75185971068,65.5198894327291
Margaritifera,15.0144378134261,59.4763508231055
Margaritifera,16.6974359305332,61.4663629240904
Margaritifera,16.0806238231265,62.630034317863
Margaritifera,16.3223508780237,65.1432312151243
Margaritifera,12.6606049408378,56.9872087240373
Margaritifera,15.5208428927381,59.9192244819412
Margaritifera,14.8118275020075,60.5629133145862
Margaritifera,12.3391344041899,59.9504880101454
Margaritifera,18.7313850283366,64.4636749586652
Margaritifera,17.2904138713192,65.4478788550675
Margaritifera,19.2298386273847,65.5742802519927
Margaritifera,17.4804876430019,65.743927129372
Margaritifera,20.102107365752,66.5778392491385
Margaritifera,17.5777509570489,62.9630054156173
Margaritifera,16.317745612901,65.1527035695291
Margaritifera,16.4296843519698,60.7518220160095
Margaritifera,15.534638295754,64.5679516217134
Margaritifera,21.5243124753048,66.1451027431746
Margaritifera,15.3650684305745,57.4929789568494
Margaritifera,19.0057858117428,63.312456671479
Margaritifera,16.6445308216056,63.835267735969
Margaritifera,14.682250154608,59.1536903882235
Margaritifera,14.7129296737292,57.5198504761097
Margaritifera,14.9247646834945,59.3221327784216
Margaritifera,16.7972657583283,61.5170661271581
Margaritifera,15.1425091338295,62.3356146603053
Margaritifera,14.9227117786288,61.9558749293373
Margaritifera,15.8788025355359,61.3099102366367
Margaritifera,16.6773078612857,61.4578482637003
Margaritifera,16.2026590995118,62.1250950387247
Margaritifera,20.821153993464,65.0938215893681
Margaritifera,17.4722923626598,65.7445089032574
Margaritifera,15.8414002320108,65.0173310286587
